id_user,ds_user_city,ds_institution,ts_firstaccess,ts_lastaccess,n_days_since_firstaccess,n_days_since_lastaccess,n_assignments_flagged,n_assignments_mapped,n_forum_discussions_posted,n_quiz_abandoned,n_quiz_finished,vl_avg_quiz_speed,vl_avg_graded_quiz_speed,vl_quiz_performance,n_interval_using,n_days_using,vl_avg_daily_activity,vl_user_engagement_by_interval,vl_user_engagement_intra_day,n_user_interactions,n_days_discussion_engagement,n_days_quiz_engagement,n_discussion_engagement,n_quiz_engagement,n_questions_answered,n_questions_rigth,n_questions_wrong,n_questions_partial,vl_user_performance,vl_avg_questions_by_day,vl_grades_engagement,n_items_graded,n_items_not_responded,vl_grade_average,n_code_submissions,vl_avg_code_submissions,vl_submissions_by_days_active
13102,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,0,1,1.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13103,Passo Fundo,,1695155481,1695155744,42,42,0,0,0,0,1,141.0000,141.0000,NULL,0,1,21.0000,NULL,NULL,1,0,1,0,12,0,1,0,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
13104,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13105,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13106,Passo Fundo,,1696973133,1698429919,21,4,0,0,0,0,0,NULL,NULL,NULL,17,2,0.4444,NULL,NULL,2,1,0,2,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13107,Passo Fundo,,1695438783,1698640281,38,1,0,0,0,0,1,996.0000,996.0000,NULL,37,4,2.2895,NULL,NULL,4,0,4,0,44,36,1,0,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
13108,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13109,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13110,Passo Fundo,,1695160067,1697671628,42,13,0,0,0,0,1,47598.0000,47598.0000,NULL,29,6,2.4000,NULL,NULL,6,0,2,0,44,40,1,0,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
13138,,,1695222563,1695222563,41,41,0,0,0,0,0,NULL,NULL,NULL,0,1,3.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13139,,,1695224920,1695918727,41,33,0,0,0,0,2,18808.0000,18808.0000,NULL,8,3,6.1111,NULL,NULL,3,1,1,3,27,0,2,0,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
13220,,,1695405705,1695405888,39,39,0,0,0,0,0,NULL,NULL,NULL,0,1,7.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13221,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13222,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
